Name,Owner,Status,Timeline Event,Container Puzzle,Required For (Puzzle),Rewarded by (Puzzle),Basic Type,First Available,Associated Characters,Narrative Threads
Coat Check,,In development,,,,,Set Dressing,Act 1,,
Sarah <> Marcus Post-Fight Note,Sarah Blackwood (https://www.notion.so/Sarah-Blackwood-18c2f33d583f804588f3c23116be2724?pvs=21),Ready for Playtest,@Sarah Blackwood and @Marcus Blackwood have an altercation about Sarah going back to work (https://www.notion.so/and-have-an-altercation-about-Sarah-going-back-to-work-1b52f33d583f8093ae5fea0d1993fe57?pvs=21),,,False Bottom Puzzle (https://www.notion.so/False-Bottom-Puzzle-1b62f33d583f80f28333feae6e7f6bd5?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f804588f3c23116be2724, https://www.notion.so/18c2f33d583f80c883b4ef43b7c9c4b1",Funding Competition
Sarah <> Diana Note,Sarah Blackwood (https://www.notion.so/Sarah-Blackwood-18c2f33d583f804588f3c23116be2724?pvs=21),Ready for Playtest,@Sarah Blackwood reaches out to @Diana Nilsson about her ‘options’ with @Marcus Blackwood  (https://www.notion.so/reaches-out-to-about-her-options-with-1b52f33d583f80cab041c46555994147?pvs=21),,,False Bottom Puzzle (https://www.notion.so/False-Bottom-Puzzle-1b62f33d583f80f28333feae6e7f6bd5?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f804588f3c23116be2724, https://www.notion.so/19f2f33d583f801f8f0dfbe2aaabdffa",Marriage Troubles
Derek <> Sarah Postcard,Sarah Blackwood (https://www.notion.so/Sarah-Blackwood-18c2f33d583f804588f3c23116be2724?pvs=21),Ready for Playtest,@Derek Thorn reaches out to @Sarah Blackwood via post card to plead her to help him convince @Marcus Blackwood to keep throwing the parties (https://www.notion.so/reaches-out-to-via-post-card-to-plead-her-to-help-him-convince-to-keep-throwing-the-parties-1b52f33d583f809aba1efe20fe9cf0f9?pvs=21),,,False Bottom Puzzle (https://www.notion.so/False-Bottom-Puzzle-1b62f33d583f80f28333feae6e7f6bd5?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f804588f3c23116be2724, https://www.notion.so/18c2f33d583f80a39b13ca462bd2d606",Underground Parties
Alex <> Sarah text apology (fuck marcus),Alex Reeves (https://www.notion.so/Alex-Reeves-18c2f33d583f80868ff8fdb97283e1a8?pvs=21),Ready for Playtest,@Alex Reeves apologizes to @Sarah Blackwood about making a scene with @Marcus Blackwood  (https://www.notion.so/apologizes-to-about-making-a-scene-with-1b52f33d583f803b93f3cfe37eef2ac7?pvs=21),,,Collab. UV Light Puzzle (https://www.notion.so/Collab-UV-Light-Puzzle-1b62f33d583f8061b077de6c0a6f0162?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f804588f3c23116be2724, https://www.notion.so/18c2f33d583f80868ff8fdb97283e1a8",Corp. Espionage
"Victoria’s Voice Memo (Marcus’ Fight) ",Victoria Kingsley (https://www.notion.so/Victoria-Kingsley-18c2f33d583f80a587aacd198fb5a65a?pvs=21),Ready for Playtest,"@Victoria Kingsley records a voice memo on her phone, trying to calm herself down after @Alex Reeves and @Marcus Blackwood get into a fist fight at the party. (https://www.notion.so/records-a-voice-memo-on-her-phone-trying-to-calm-herself-down-after-and-get-into-a-fist-fight-at--1b52f33d583f80d19109c01996955998?pvs=21)",,,Queens/Sudoku Lock (https://www.notion.so/Queens-Sudoku-Lock-1b62f33d583f80dea4b7cae080a83b31?pvs=21),Prop,Act 1,https://www.notion.so/18c2f33d583f80a587aacd198fb5a65a,Corp. Espionage
Jessicah <> Marcus Email,Victoria Kingsley (https://www.notion.so/Victoria-Kingsley-18c2f33d583f80a587aacd198fb5a65a?pvs=21),Ready for Playtest,@Jessicah Kane emails @Marcus Blackwood about her pregnancy and pressures him to leave @Sarah Blackwood  (https://www.notion.so/emails-about-her-pregnancy-and-pressures-him-to-leave-1b52f33d583f80d696b5eb0e6d21c1bf?pvs=21),,,Queens/Sudoku Lock (https://www.notion.so/Queens-Sudoku-Lock-1b62f33d583f80dea4b7cae080a83b31?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f80c883b4ef43b7c9c4b1, https://www.notion.so/19f2f33d583f80e2af1fced97f5d8b60",Marriage Troubles
Staffing budget proposal for next cash injection w/ line item for new in house chemist (Marcus wants Derek on payroll),Victoria Kingsley (https://www.notion.so/Victoria-Kingsley-18c2f33d583f80a587aacd198fb5a65a?pvs=21),Ready for Playtest,@Marcus Blackwood submits a new staffing budget(w/ @Derek Thorn as in house chemist) in anticipation of @Victoria Kingsley ‘s next cash injection into NeurAI. (https://www.notion.so/submits-a-new-staffing-budget-w-as-in-house-chemist-in-anticipation-of-s-next-cash-injection-in-1b52f33d583f8078897ad406a46c98c3?pvs=21),,,Queens/Sudoku Lock (https://www.notion.so/Queens-Sudoku-Lock-1b62f33d583f80dea4b7cae080a83b31?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f80a39b13ca462bd2d606, https://www.notion.so/18c2f33d583f80a587aacd198fb5a65a, https://www.notion.so/18c2f33d583f80c883b4ef43b7c9c4b1","Funding Competition, Memory Drug"
Derek <> Marcus Texts,Derek Thorn (https://www.notion.so/Derek-Thorn-18c2f33d583f80a39b13ca462bd2d606?pvs=21),Ready for Playtest,@Derek Thorn texts @Marcus Blackwood about overhearing @Victoria Kingsley not wanting to go to jail because of him (https://www.notion.so/texts-about-overhearing-not-wanting-to-go-to-jail-because-of-him-1b52f33d583f80a7ac4bee6cfb6fb471?pvs=21),,,Party Posters Spot the Differences Puzzle (https://www.notion.so/Party-Posters-Spot-the-Differences-Puzzle-1b62f33d583f80129b24c8b955a3d6dd?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f80a39b13ca462bd2d606, https://www.notion.so/18c2f33d583f80c883b4ef43b7c9c4b1",Memory Drug
Derek <> Diana Texts,Derek Thorn (https://www.notion.so/Derek-Thorn-18c2f33d583f80a39b13ca462bd2d606?pvs=21),Ready for Playtest,@Diana Nilsson and @Marcus Blackwood have an affair (https://www.notion.so/and-have-an-affair-1b52f33d583f80ecb9bbf1e711125ed5?pvs=21),,,Party Posters Spot the Differences Puzzle (https://www.notion.so/Party-Posters-Spot-the-Differences-Puzzle-1b62f33d583f80129b24c8b955a3d6dd?pvs=21),Prop,Act 1,"https://www.notion.so/18c2f33d583f80c883b4ef43b7c9c4b1, https://www.notion.so/19f2f33d583f801f8f0dfbe2aaabdffa",Marriage Troubles
